        file                                        section                                               todo
   chapter01                      Outline and contributions  Djamila, is Appendix A named here? before conc...
   chapter03  Class-dependent cost-sensitive classification  Djamila: Algorithms? not sure as I dont use an...
   chapter04                                      chapter04                                        fix outline
   chapter04                    Credit card fraud detection                        erase percentage of savings
   chapter04                                      Databases                                    table databases
   chapter07                             Genetic algorithms  Djamila: this section can: move to background,...
   chapter08                                    Experiments                                        Experiments
 conclusions                                    conclusions  Djamila, is Appendix A named here? before conc...
 conclusions                     Future research directions                               copied from Frederik
   notations                                      notations                 Finish notations from all chapters
   notations                                      notations            Only notation used thought the chapters
   notations                                      notations                                          FP, FN...
